y,b,media_estrategias_mantidas,std_estrategias_mantidas
16,41,1.87,0.3379976689896311
16,42,1.87,0.3379976689896311
17,41,1.88,0.3265986323710904
17,42,1.88,0.3265986323710905
18,41,1.89,0.3144660377352201
18,42,1.9,0.3015113445777636
19,41,1.9,0.3015113445777635
19,42,1.9,0.3015113445777636
20,41,1.91,0.2876234912646614
20,42,1.91,0.2876234912646613
16,41,1.87,0.3379976689896311
16,42,1.87,0.3379976689896311
17,41,1.88,0.3265986323710904
17,42,1.88,0.3265986323710905
18,41,1.89,0.3144660377352201
18,42,1.9,0.3015113445777636
19,41,1.9,0.3015113445777635
19,42,1.9,0.3015113445777636
20,41,1.91,0.2876234912646614
20,42,1.91,0.2876234912646613
21,1,2.0,0.0
21,2,2.0,0.0
21,3,2.0,0.0
21,4,2.0,0.0
21,5,2.0,0.0
22,1,2.0,0.0
22,2,2.0,0.0
22,3,2.0,0.0
22,4,2.0,0.0
22,5,2.0,0.0
23,1,2.0,0.0
23,2,2.0,0.0
23,3,2.0,0.0
23,4,2.0,0.0
23,5,2.0,0.0
24,1,2.0,0.0
24,2,2.0,0.0
24,3,2.0,0.0
24,4,2.0,0.0
24,5,2.0,0.0
25,1,2.0,0.0
25,2,2.0,0.0
25,3,2.0,0.0
25,4,2.0,0.0
25,5,2.0,0.0
21,6,2.0,0.0
21,7,2.0,0.0
21,8,2.0,0.0
21,9,1.0,0.0
21,10,1.0,0.0
22,6,2.0,0.0
22,7,2.0,0.0
22,8,2.0,0.0
22,9,1.0,0.0
22,10,1.0,0.0
23,6,2.0,0.0
23,7,2.0,0.0
23,8,2.0,0.0
23,9,1.41,0.4943110704237103
23,10,1.0,0.0
24,6,2.0,0.0
24,7,2.0,0.0
24,8,2.0,0.0
24,9,1.31,0.4648231987117319
24,10,1.0,0.0
25,6,2.0,0.0
25,7,2.0,0.0
25,8,2.0,0.0
25,9,2.0,0.0
25,10,1.0,0.0
21,11,1.0,0.0
21,12,1.0,0.0
21,13,1.0,0.0
21,14,1.04,0.1969463855669324
21,15,1.12,0.3561863092100634
22,11,1.0,0.0
22,12,1.0,0.0
22,13,1.0,0.0
22,14,1.05,0.2190429135575903
22,15,1.09,0.3208259542638234
23,11,1.0,0.0
23,12,1.0,0.0
23,13,1.0,0.0
23,14,1.01,0.0999999999999999
23,15,1.05,0.2190429135575904
24,11,1.0,0.0
24,12,1.0,0.0
24,13,1.0,0.0
24,14,1.0,0.0
24,15,1.05,0.2190429135575904
25,11,1.0,0.0
25,12,1.0,0.0
25,13,1.0,0.0
25,14,1.0,0.0
25,15,1.0,0.0
21,16,1.06,0.2777979790634142
21,17,1.08,0.3938927711338647
21,18,1.12,0.477366513151884
21,19,2.27,0.4461960433384737
21,20,1.96,1.0042334631373564
22,16,1.09,0.3509007169147893
22,17,1.1,0.4380858271151807
22,18,1.24,0.6531972647421805
22,19,2.27,0.4682872294787989
22,20,2.04,1.0042334631373564
23,16,1.05,0.2611164839335467
23,17,1.08,0.3938927711338648
23,18,1.16,0.5453198486885814
23,19,2.21,0.4560480215720686
23,20,2.04,1.0042334631373564
24,16,1.03,0.2227015033536137
