y,b,prop_B_mantida,prop_O_mantida,prop_Y_mantida
11,18,0.0,1.0,0.0
11,19,1.0,1.0,0.0
11,20,0.01,1.0,0.0
12,16,0.0,1.0,0.0
12,17,0.0,1.0,0.0
12,18,0.0,1.0,0.0
12,19,1.0,1.0,0.0
12,20,0.0,1.0,0.0
13,16,0.0,1.0,0.0
13,17,0.0,1.0,0.0
13,18,0.0,1.0,0.0
13,19,1.0,1.0,0.0
13,20,0.01,1.0,0.01
14,16,0.01,1.0,0.0
14,17,0.0,1.0,0.0
14,18,0.01,1.0,0.01
14,19,1.0,1.0,0.02
14,20,0.1,1.0,0.1
15,16,0.06,0.95,0.0
15,17,0.0,1.0,0.0
15,18,0.0,1.0,0.0
15,19,1.0,1.0,0.04
15,20,0.26,1.0,0.25
11,21,1.0,1.0,0.0
11,22,1.0,1.0,0.0
11,23,1.0,1.0,0.0
11,24,1.0,1.0,0.0
11,25,1.0,1.0,0.0
12,21,1.0,1.0,0.0
12,22,1.0,1.0,0.0
12,23,1.0,1.0,0.0
12,24,1.0,1.0,0.0
12,25,1.0,1.0,0.0
13,21,1.0,1.0,0.0
13,22,1.0,1.0,0.0
13,23,1.0,1.0,0.0
13,24,1.0,1.0,0.0
13,25,1.0,1.0,0.0
14,21,1.0,1.0,0.01
14,22,1.0,1.0,0.01
14,23,1.0,1.0,0.0
14,24,1.0,1.0,0.0
14,25,1.0,1.0,0.0
15,21,1.0,1.0,0.08
15,22,1.0,1.0,0.0
15,23,1.0,1.0,0.0
15,24,1.0,1.0,0.02
15,25,1.0,1.0,0.0
11,26,1.0,1.0,0.0
11,27,1.0,1.0,0.0
11,28,1.0,1.0,0.0
11,29,1.0,1.0,0.0
11,30,1.0,1.0,0.0
12,26,1.0,1.0,0.0
12,27,1.0,1.0,0.0
12,28,1.0,1.0,0.0
12,29,1.0,1.0,0.0
12,30,1.0,1.0,0.0
13,26,1.0,1.0,0.0
13,27,1.0,1.0,0.0
13,28,1.0,1.0,0.0
13,29,1.0,1.0,0.0
13,30,1.0,1.0,0.0
14,26,1.0,1.0,0.0
14,27,1.0,1.0,0.0
14,28,1.0,1.0,0.0
14,29,1.0,1.0,0.0
14,30,1.0,1.0,0.0
15,26,1.0,1.0,0.0
15,27,1.0,1.0,0.0
15,28,1.0,1.0,0.0
15,29,1.0,1.0,0.0
15,30,1.0,1.0,0.0
11,31,1.0,1.0,0.0
11,32,1.0,0.96,0.0
11,33,1.0,0.94,0.0
11,34,1.0,0.85,0.0
11,35,1.0,0.65,0.0
12,31,1.0,1.0,0.0
12,32,1.0,0.97,0.0
12,33,1.0,0.95,0.0
12,34,1.0,0.86,0.0
12,35,1.0,0.71,0.0
13,31,1.0,1.0,0.0
13,32,1.0,0.98,0.0
13,33,1.0,0.97,0.0
13,34,1.0,0.86,0.0
13,35,1.0,0.77,0.0
14,31,1.0,1.0,0.0
14,32,1.0,0.99,0.0
14,33,1.0,0.97,0.0
14,34,1.0,0.87,0.0
14,35,1.0,0.81,0.0
15,31,1.0,1.0,0.0
15,32,1.0,0.99,0.0
15,33,1.0,0.97,0.0
15,34,1.0,0.87,0.0
15,35,1.0,0.83,0.0
11,36,1.0,0.57,0.0
11,37,1.0,0.62,0.0
11,38,1.0,0.69,0.0
11,39,1.0,0.77,0.0
11,40,1.0,0.76,0.0
12,36,1.0,0.6,0.0
12,37,1.0,0.65,0.0
12,38,1.0,0.7,0.0
12,39,1.0,0.79,0.0
12,40,1.0,0.79,0.0
13,36,1.0,0.63,0.0
13,37,1.0,0.67,0.0
13,38,1.0,0.71,0.0
13,39,1.0,0.8,0.0
13,40,1.0,0.82,0.0
14,36,1.0,0.67,0.0
14,37,1.0,0.71,0.0
14,38,1.0,0.79,0.0
14,39,1.0,0.83,0.0
14,40,1.0,0.84,0.0
15,36,1.0,0.68,0.0
15,37,1.0,0.72,0.0
15,38,1.0,0.82,0.0
15,39,1.0,0.83,0.0
15,40,1.0,0.85,0.0
11,41,1.0,0.82,0.0
11,42,1.0,0.81,0.0
12,41,1.0,0.84,0.0
12,42,1.0,0.82,0.0
13,41,1.0,0.84,0.0
13,42,1.0,0.83,0.0
14,41,1.0,0.85,0.0
14,42,1.0,0.85,0.0
15,41,1.0,0.87,0.0
15,42,1.0,0.86,0.0
11,41,1.0,0.82,0.0
11,42,1.0,0.81,0.0
12,41,1.0,0.84,0.0
12,42,1.0,0.82,0.0
13,41,1.0,0.84,0.0
13,42,1.0,0.83,0.0
14,41,1.0,0.85,0.0
14,42,1.0,0.85,0.0
15,41,1.0,0.87,0.0
15,42,1.0,0.86,0.0
16,1,1.0,0.0,1.0
16,2,1.0,0.0,1.0
16,3,1.0,0.0,1.0
16,4,1.0,0.0,0.0
16,5,1.0,0.0,0.0
17,1,1.0,0.0,1.0
17,2,1.0,0.0,1.0
17,3,1.0,0.0,1.0
17,4,1.0,0.0,0.0
17,5,1.0,0.0,0.0
18,1,1.0,0.0,1.0
18,2,1.0,0.0,1.0
18,3,1.0,0.0,1.0
18,4,1.0,0.0,0.0
18,5,1.0,0.0,0.0
19,1,1.0,0.0,1.0
19,2,1.0,0.0,1.0
19,3,1.0,0.0,1.0
19,4,1.0,0.0,1.0
19,5,1.0,0.0,1.0
20,1,1.0,0.0,1.0
20,2,1.0,0.0,1.0
20,3,1.0,0.0,1.0
20,4,1.0,0.0,0.0
20,5,1.0,0.0,0.0
16,6,1.0,0.0,0.0
16,7,1.0,0.0,0.0
16,8,1.0,0.0,0.0
16,9,1.0,0.0,0.06
16,10,0.99,0.01,0.0
17,6,1.0,0.0,0.0
17,7,1.0,0.0,0.0
17,8,1.0,0.0,0.0
17,9,1.0,0.0,0.0
17,10,1.0,0.0,0.0
18,6,1.0,0.0,0.0
18,7,1.0,0.0,0.0
18,8,1.0,0.0,0.0
18,9,1.0,0.0,0.0
18,10,1.0,0.0,0.0
19,6,1.0,0.0,1.0
19,7,1.0,0.0,1.0
19,8,1.0,0.0,1.0
19,9,1.0,0.0,0.0
19,10,1.0,0.0,0.0
20,6,1.0,0.0,0.01
20,7,1.0,0.0,0.01
20,8,1.0,0.0,0.01
20,9,1.0,0.0,0.0
20,10,1.0,0.0,0.0
16,11,0.96,0.04,0.0
16,12,0.91,0.1,0.01
16,13,0.62,0.39,0.0
16,14,0.45,0.63,0.01
16,15,0.66,0.68,0.0
17,11,0.99,0.01,0.0
17,12,0.96,0.04,0.0
17,13,0.79,0.23,0.01
17,14,0.68,0.46,0.01
17,15,0.86,0.54,0.01
18,11,0.99,0.01,0.0
18,12,0.98,0.02,0.0
18,13,0.92,0.1,0.0
18,14,0.85,0.19,0.0
18,15,0.91,0.36,0.0
19,11,1.0,0.0,0.0
19,12,1.0,0.0,0.0
19,13,0.96,0.04,0.0
19,14,0.88,0.14,0.01
19,15,0.93,0.26,0.0
20,11,1.0,0.0,0.0
20,12,1.0,0.0,0.0
20,13,0.98,0.02,0.0
20,14,0.95,0.11,0.01
20,15,0.96,0.18,0.01
16,16,0.29,0.8,0.0
16,17,0.03,0.97,0.0
16,18,0.0,1.0,0.0
16,19,1.0,1.0,0.12
16,20,0.34,1.0,0.34
17,16,0.42,0.69,0.0
17,17,0.07,0.94,0.01
17,18,0.02,1.0,0.02
17,19,1.0,1.0,0.15
17,20,0.46,1.0,0.45
18,16,0.56,0.59,0.0
18,17,0.12,0.89,0.01
18,18,0.02,1.0,0.02
18,19,1.0,1.0,0.2
18,20,0.48,1.0,0.48
19,16,0.66,0.44,0.0
19,17,0.21,0.8,0.01
19,18,0.04,0.99,0.03
19,19,1.0,1.0,0.25
19,20,0.59,1.0,0.59
20,16,0.8,0.31,0.01
20,17,0.3,0.73,0.03
20,18,0.12,0.92,0.04
20,19,1.0,1.0,0.25
20,20,0.47,1.0,0.46
16,21,1.0,1.0,0.29
16,22,1.0,1.0,0.21
16,23,1.0,1.0,0.37
16,24,1.0,1.0,0.21
16,25,1.0,1.0,0.0
17,21,1.0,1.0,0.6
17,22,1.0,1.0,0.51
17,23,1.0,1.0,0.63
17,24,1.0,1.0,0.68
17,25,1.0,1.0,0.0
18,21,1.0,1.0,0.8
18,22,1.0,1.0,0.8
18,23,1.0,1.0,0.93
18,24,1.0,1.0,0.97
18,25,1.0,1.0,0.0
19,21,1.0,1.0,0.94
